snp_chr,gene_id,minpos,maxpos,myid
4,ENSG00000002587,10956610,10956610,ENSG00000002587
3,ENSG00000004534,49843842,49843842,ENSG00000004534
17,ENSG00000004660,3808696,3814942,ENSG00000004660
6,ENSG00000005700,82958266,82958266,ENSG00000005700
1,ENSG00000007341,113044650,113044650,ENSG00000007341
7,ENSG00000008256,6312329,6312329,ENSG00000008256
7,ENSG00000010270,38217724,38217724,ENSG00000010270
16,ENSG00000010539,3333174,3333174,ENSG00000010539
3,ENSG00000011376,45422827,45430050,ENSG00000011376
12,ENSG00000013503,106751916,106751916,ENSG00000013503
11,ENSG00000014138,65021630,65021630,ENSG00000014138
6,ENSG00000021355,2932520,2940742,ENSG00000021355
1,ENSG00000023572,193073720,193074349,ENSG00000023572
14,ENSG00000023608,62229002,62229002,ENSG00000023608
6,ENSG00000023892,35267698,35267698,ENSG00000023892
6,ENSG00000025156,122720614,122720614,ENSG00000025156
20,ENSG00000025772,43589076,43596218,ENSG00000025772
5,ENSG00000027847,177027110,177027110,ENSG00000027847
6,ENSG00000030110,33548054,33548054,ENSG00000030110
11,ENSG00000033327,78285856,78285856,ENSG00000033327
2,ENSG00000035141,70528482,70529201,ENSG00000035141
10,ENSG00000035403,75757790,75757790,ENSG00000035403
5,ENSG00000035499,59995768,59995768,ENSG00000035499
5,ENSG00000038427,82769034,82770462,ENSG00000038427
19,ENSG00000039650,50370666,50370666,ENSG00000039650
5,ENSG00000040275,169010763,169010763,ENSG00000040275
5,ENSG00000043143,133862574,133862574,ENSG00000043143
1,ENSG00000043514,40349128,40385371,ENSG00000043514
6,ENSG00000044090,43021622,43027350,ENSG00000044090
5,ENSG00000047188,112846729,112849383,ENSG00000047188
6,ENSG00000047579,15662510,15662510,ENSG00000047579
1,ENSG00000049239,9294812,9294812,ENSG00000049239
6,ENSG00000051620,138724707,138725358,ENSG00000051620
18,ENSG00000053747,21281177,21281177,ENSG00000053747
1,ENSG00000054523,10270557,10270557,ENSG00000054523
